flux,dilution,metabolite,reaction,global_id
0.1,0.1,cit_m,EX_cit_m,EX_cit(e)
0.1,0.1,amet_m,EX_amet_m,EX_amet(e)
0.1,0.1,csn_m,EX_csn_m,EX_csn(e)
0.1,0.1,cytd_m,EX_cytd_m,EX_cytd(e)
0.1,0.1,dad_2_m,EX_dad_2_m,EX_dad_2(e)
0.1,0.1,dcyt_m,EX_dcyt_m,EX_dcyt(e)
0.1,0.1,ddca_m,EX_ddca_m,EX_ddca(e)
0.1,0.1,dgsn_m,EX_dgsn_m,EX_dgsn(e)
0.1,0.1,for_m,EX_for_m,EX_for(e)
0.1,0.1,fum_m,EX_fum_m,EX_fum(e)
0.1,0.1,glyc3p_m,EX_glyc3p_m,EX_glyc3p(e)
0.1,0.1,gsn_m,EX_gsn_m,EX_gsn(e)
0.1,0.1,gthox_m,EX_gthox_m,EX_gthox(e)
0.1,0.1,gua_m,EX_gua_m,EX_gua(e)
0.1,0.1,h_m,EX_h_m,EX_h(e)
0.1,0.1,hxan_m,EX_hxan_m,EX_hxan(e)
0.1,0.1,indole_m,EX_indole_m,EX_indole(e)
0.1,0.1,lanost_m,EX_lanost_m,EX_lanost(e)
0.1,0.1,metsox_S_L_m,EX_metsox_S_L_m,EX_metsox_S_L(e)
0.1,0.1,mqn7_m,EX_mqn7_m,EX_mqn7(e)
0.1,0.1,ncam_m,EX_ncam_m,EX_ncam(e)
0.1,0.1,nmn_m,EX_nmn_m,EX_nmn(e)
0.1,0.1,orn_m,EX_orn_m,EX_orn(e)
0.1,0.1,pheme_m,EX_pheme_m,EX_pheme(e)
0.1,0.1,pi_m,EX_pi_m,EX_pi(e)
0.1,0.1,ptrc_m,EX_ptrc_m,EX_ptrc(e)
0.1,0.1,pydx5p_m,EX_pydx5p_m,EX_pydx5p(e)
0.1,0.1,q8_m,EX_q8_m,EX_q8(e)
0.1,0.1,sheme_m,EX_sheme_m,EX_sheme(e)
0.1,0.1,spmd_m,EX_spmd_m,EX_spmd(e)
0.1,0.1,thm_m,EX_thm_m,EX_thm(e)
0.1,0.1,thymd_m,EX_thymd_m,EX_thymd(e)
0.1,0.1,ura_m,EX_ura_m,EX_ura(e)
0.1,0.1,uri_m,EX_uri_m,EX_uri(e)
0.1,0.1,xan_m,EX_xan_m,EX_xan(e)
10.0,1.0,meoh_m,EX_meoh_m,EX_meoh(e)
10.0,1.0,h2o_m,EX_h2o_m,EX_h2o(e)
0.1,0.1,2dmmq8_m,EX_2dmmq8_m,EX_2dmmq8(e)
0.1,0.1,4abz_m,EX_4abz_m,EX_4abz(e)
0.1,0.1,amp_m,EX_amp_m,EX_amp(e)
0.1,0.1,fald_m,EX_fald_m,EX_fald(e)
0.1,0.1,gam_m,EX_gam_m,EX_gam(e)
0.1,0.1,glu_D_m,EX_glu_D_m,EX_glu_D(e)
0.1,0.1,gthrd_m,EX_gthrd_m,EX_gthrd(e)
0.1,0.1,h2_m,EX_h2_m,EX_h2(e)
0.1,0.1,no2_m,EX_no2_m,EX_no2(e)
0.001,0.001,o2_m,EX_o2_m,EX_o2(e)
